Q55,Q58,Q61,Q64,Q67,Q72,Q74,Q78,Q79,Q81,Q82,Q84,Q92,Q98,Q99,Q100,Q101,Q103,Q104,Q111,Q114,Q116,Q119,Q120,Q121,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q133,Q130
"My daughter came first, was on a ventilator, so work, errands, family functions were neglected if she needed me.",Parties,"Everything at some point.. grocery shopping is difficult.. bill paying is done online but that's even hard sometimes. Any ""extras"" like haircuts or shopping for non-necessities is almost nonexistent. ",,My husband at the time was a drug addict and abandoned us which was a blessing at the time ,We use Medicaid dollars and hire through an agency. Caregivers are hard to find and sometime undependable to arrive on time or to do their assigned work.,I occassionally leave her overnigjt at the hospital with her father so I can go home to be with oir younger child and prepare for work the next day. I work in my home,"I don't see my friends as much, their children often have illnesses. I've also met so many other people who are going through the same struggles. ",Unable to answer for the parents.,Family and a few close friends,No,"Nap 
Run errands alone
Organize meds appts ","I'm answering as s if I'm mom, not caregiver. . ","My kids, my husband, my grandkids","My husband and his family's complete denial and/or disregard of our child's condition.  Also, the concern for the future for my daughter in that I want her to be able to live a normal life without worry about her pottying.","His identical  twin brother died from the same illness 25 days before his 3rd birthday.
The 1yr old- misses out on doing lots of things i would take him to do if we werent restricted by Logans seizure triggers? ","Park, puzzles, music, pets","We know that our kids aren't ours to keep, and strive to treasure the moments together, and to prepare them for eventual separation.",,,"The cost was very stressful, but was manageable with help from friends and colleagues",,"We can't afford birthdays, holidays, any extras at all. Keeping them in clothes as they grow has been a hardship in itself, let alone anything ""fun""
The only fun things we've been able to do with our kids are things that were gifted to us somehow.","Son was diagnosed and had medical/behavior treatments for two years.  Fought for his Army promotion with the state and federal govt which benefited him and others at and since that time.  He was medically discharged and maintains his required appointments fir his disability and retired  status.  Had his status been declared different, it would be a tremendous impact on his, and now his family's life and lifestyle. ",It was exhausting and emotional. ,"Our family unit, bed, and feeling safe ","Her brother
Family unit and safety",The nurses the nurses the nurses! ,More homelike environment,To wear gloves/ be careful around her body fluids while on chemo,Ask for help for anything you need don't hesitate. Seek out others in your situation to find support,"Support for my other children,Financial assistance,Peer or professional support for self,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,"Sound proof walls/doors, silent policy for night nursing and machines, quiet hours, social activities, "
I took the first year off from work to take care of my daughter. The last year and a half when dr appointments weren't as frequent I went back to work part time.,Going out with husband and friends,Plan to go out very strategically so nothing is neglected,,I would say almost all.   I have no time or energy left at the end of the day for home.  ,We can't afford to pay somebody and family didn't feel comfortable in their ability,Both kids stayed with grandparents.  Stressful for me and my parents  (their grandparents),"We are hours away from our support base, friends, and family","The student nurse schedules are set, if the time to go somewhere is outside of these times, I cannot attend. ",Friends,No,Shower ,More anxiety in general and less time to work out. ,My two kids and the flexibility of my job.,"Cancer, homeschooling. Children. ",Made us distant. ,"Ride Bikes, Explore outside, garden",We are more close,,,Don't know,,All of our money went to our sons care and medical equipment needed that the state does not or had too much trouble getti g them to provide,"Finances are always going to affect relationships. We were not strapped as so many people. We had a go fund me page that allowed us to buy a wheelchair van, and hire 2 Danny's foe the other 2 kids! That again was a true blessing! 

",It was good the nurses made our stay so much better but after a while it got tiring it was hard the months stays wee hard we couldn't leave with our son go out we had to be indoors with him at all timsa,"My family... Parent, sisters brother, my house. ",He wa a ball by but his granparents,Friends that were their to talk and hang out ,"More support emotionally, someone to help give me time to shower or do laundry or just take a walk ",Best diet for him,There is a lot of downtime ,"Respite,Help with social service programs",,,Please keep teenagers and young adults in mind when designing the interiors and when planning social programs.  Teen and young adult males are so often overlooked and forgotten.  This group is very aware of their mortality and need extra care and attention.  
"Laundry, cooking, grocery shopping, time with other child.",Extended friends,Everything at that point!,," One of us was in the hospital,  or living in Seattle with our son at all times.  We were able to come home for  brief periods of time but he was a baby so he required a lot of care anyway. ",VERY PHYSICALLY AND EMOTIONALLY CHALLENGING ESPECAILLY WITH A TERMINAL DIAGNOSIS,She was with her grandmother or she was at Camp Goodtimes. ,I pretty much have no social life. My schedule is very constricted between M-F work hours and caring for my child evenings and weekends.,"It takes a lot to manage my son in different situations. It's tiring to constantly be on the go or looking out for new therapist/therapies so I can feel like we are doing enough and giving him a chance. It's hard to have energy for other normal socializing. There are three caregivers for my son. If they can't help, we are out of luck.",Homeschooling friends. Their families encounter fewer germs. ,Now I do,Exercise and spend time with friends.,I think death of your child effects you totally and in wAys you don't even know.  It's trauma! ,His amazing prognosis. The receding tumors. Baby on the way. ,"My child's cancer, dealing with being away from home - renting house, taxes, etc..., finances",My son lost his very best friend.  He doesn't talk about it.  I would like him to talk to a counselor but he says he is fine.  I think there is something eating deep inside of him.  I hear it in his voice sometimes.  You have never seen a brother care for his sister like he did for his.  He was well taking care of while we cared for Kathryn the first time.  She was 8 and he was 12.  My brother had asked me what he could do to help and I told him that Richard is going to get lost in all of this.  I asked him to take Richard under his wing and teach him how to ski like he did me.  My brother really came through.  He bought Richard all of his ski gear and took him skiing every weekend for two or three years.  Until all four of us could ski together.  Skiing is his life!  He still skies at 30.  I really think Camp Goodtimes helped him handle his sister's death and gave him people he could talk to.  He turns his grief into care for others as we all have.,Movies. Shows wine tasting. Sports events ,"no time to work out problems, everyone fends for themselves, stress and negative attitudes",,,"live in a housing area where everyone is caregiving for someone, and nurses and aides come and help you care for your family member. ",,Our community was very generous and held lots of fundraisers for us. But money is a huge stresss especially with trying to pay for two households ,Focusing on him we both were not working. ,Long and stressful ,My 2 year old and being home able to sleep and carry on how we normally do. ,His bed and sleeping with me. And his brother. ,Getting better and healing. ,"not coming in the room every 2 hours
not having my garbage can, linen bin, food tray, taken out by 3 different people at any hour.
The traffic was terrible.  Even with a sign on our door that said ""do not come in"" there was still at least 2 employee in the room every hour","to order a wheelchair right away because he will get worse, and the wheelchair takes 3 months to make and deliver.",Take time when kids are sleeping to relax and unwind. Let out all your feelings and worries when you need to don't hold anything in. ,"Respite,Referral or references for alternate caregiver service or options,Support for my other children,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Childcare for siblings,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,"A community room with a small stage and a kitchen and toys and maybe some TVs......encourage organic relationship growth and maybe support amongst the patients.
Access to therapies while there....PT, OT, SPT and ABA would be so helpful aand a productive use of the patients time while there. A place they can go to work and play. "
Play time with son exercise for both of us.,Physical,"Household chores, i.e. Cleaning and laundry ",,Many aspects.  One of us was almost always caring for the sick child.,"Caregivers need regular schedules, our was too sporadic to keep regular people, high turnover. ","He stayed with his father approximately every other weekend, until the last few months of his life, when he needed constant supervision and I decided it was time to keep him home.","I lost a lot of ""friends"" due to relocating and not being able to go out, but I also met some amazing new people at the hospital and through family camps",We were very specific about who would care for our daughter so if my husband wasn't home I would not leave.  ,"Hubby, friends, parents",No,Knit. Bathe. Read. Sushi ,"I have quite a bit of anxiety, insomnia, etc.  I take medication for it.  My migraines are always way worse due to lack of sleep and stress. ","God, my family, my friends","my husband's depression
my ill child's constant needs and requests
too many demands",I think they are glad he lives with me now.  We see them from time to time but we keep it brief.  his little brothers cry when he leaves but his mom won't allow him to live there due to his mental health,"Cook
Converse
Sit together ","There is not a lot of time to focus on us, or fully enjoy the other persons company since there is always talk of our son. 
My husband at one point when looking for an unemcumbered relationship so he didn't have to always be in deep discussions about our child. He thought he lost who I was and who we were together. We enjoy each other and we're married 8 years before our first son, so we had a lot of time together prior to kids.",,,We are good. I'd like to have closer therapies.,, I had to stop working to take care of the child.  We have taken out three loans and refinanced our house.  The money is almost gone.,"No vacations
No treats",Stressful and relaxing,"My bed, eating without worrying about money, being comfortable","Bed, normal food, me","Time for me to sleep, knowing she was mostly safe, ",More volunteers available to sit with child while I stepped out. More activities for child to do as he was often in ISO. Better choice of food and food available to parents.,"Nutritional info for child to optimize health, alternatives to pain management other than liquid oxy!",Speak up.  You are part of your child's treatment team and know him better than anybody else.,"Respite,Referral or references for alternate caregiver service or options,Support for my other children,Help with social service programs,Insurance assistance,Peer or professional support for self,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,"Insurance reimbursements are needed for sustainability.  Endowments help, but the costs of care and reimbursements have to be factored into the long term plan.  Otherwise, it will be a place for only those who can pay to stay while the family member dies.  Find the pathway to change how insurance reimburses for children dying in the hospital vs Ladybug House and you will have a succesful model and places where you CAN add LIFE to their days.  Thank you! "
Had to reduce number of hours worked.,Seeing friends,Food. My dad and his family helped me at the time,,Everything... it went from a personal relationship to business quick and teetering on divorce,"Autism and cancer don't mix very well. Hes challenging and no one really understands his""language"" being nonverbal. Many are intimidated by the behaviors and fragility of his condition. ",She would only stay the night at her best friend's house because that was my best friend's daughter. They knew how to take care of Anna,SADDENED BY TERMINAL DX...FEELING HELPLESS,Sometimes you're too tired..sometimes schedules dont match or child gets sick right before...or the friend your meeting is sick or has been exposed to sickness,"Girlfriends. If I have one good personal conversation each day, I am OK.",No,"read, go to gym classes, eating out with friends, pedicure","I never wanted to make my daughter feel that she was a burden in any way, because she was very sensitive to that. Again, I wanted to be by her side 24-7 so did smaller amounts of exercise in her room. Sleep was maybe the biggest challenge, once we needed to get up often for medicine in the night, and then I got up early to go to work. But I wouldn't have it another way","my other 2 children
nature
travel, when I have the rare chance to do this",Kids 1 2 and 3,She is more empathetic after seeing her sister but also very afraid of doctors and doctor appts.,"Travel, outdoor adventures, dinner ","Two parents under extreme stress for extended periods of time, other family members adding to our stress, having different ideas of what was right for our child.",,,"Access to more quality foods for the child, natural, organic. Access to mental health professionals for parents, ideas on ways to cope when outpatient and the parents are more responsible for all aspects of caregiving ",,My husband has had to work only part time to make caring for our child possible,"We could not fund retirement until 55. Mother's SSI is very small as she was caregiver.  We had to move to access the waiver program due to having other kids impacted by possible bankruptsy, we had no health insurance available due to self employment, then when we had it, she was not covered.  Spent $40,000 one year then moved to a state that had the waiver.  Have bought and sold 4 houses due to changes, but no help for moving, sales etc.  Had to modify every one, constantly adapting houses and bathrooms.  

Relationships:  we have had good luck with our 3 sons who each got college scholarships for undergrad.  They could not get any help from us to continue however and are all married to highly educated spouses and would have gone on to grad school.  We cannot fund stuff for them and their families like spouses families do.  A big thing is we can't meet up with them for weekends or vacations due the the high expense of accomodating her and 12 family members.  We have to take on all the planning and costs of the high level of vacation.  Now, we also have to hire attendants to accompany us for 24 hr care.  We just had a wedding, and the stress was just about the highest ever: new spouse chose not to accommodate, I had to hire 4 persons to drag her up a mountain (yes!) and one week of attendant to accompany her and 2 hotels rooms in 2 cities and airplane tickets.  Not one of the rest of the family even asked about the cost of all this on us.  We were stuck including her, as we could not leave her out, tho the bride and groom were willing.  Another son has not gotten married due to not wanting to attempt it.  This wedding sent us into the most serious crisis of our marriage and adult/child relationship.  We had counseling and weren't speaking for months.  We are gradually healing it ourselves, due to our skills and self effacement, because as usual we have the most to lose.   My family does not contribute $ to her special needs, but will for other grandchildren's lives like college, cars.  We have just had to ""live our values everyday"" and be the bigger person alot.  ",Heartbreaking and exhausting,Family pets a bed to sleep in,"Her bird, privacy, sleeping ","Getting her pain relief, kindness of staff, talking with other parents","Noise at night made it impossible to sleep at hospital
Putting an oncology patient on surgical floor following surgery was awkward and didn't meet his needs
Scheduling followup was sometimes time consuming and slow",All the resources the hospital had available,?,Help with tasks of daily living (house/yard/errands/meals),,,Let me know when it gets funded! I'll be there with bells On! 
"Laundry
Regular house cleaning
Yard maintenance
",All of them. ,Self needs ,,Never have alone time with my significant other. ,"Not comfortable leaving with a babysitter, anyone under the age of 25. Hard to find someone that is comfortable watching her that is not our daycare. ",Husband and I rotated ONLY when my son was feeling well -- I would never leave him when he was extremely ill. ,"Negative, what social life?
Positive, friends are great, they come to me.",For the first 8-12 months I was never away from my child and barely left him for long periods with his father. I didn't try to find care for him to go do things because I didn't want to leave him.,One friend with children of similar ages to mine,No.,"exercise, read, visit museums, meet friends"," Greater tendency toward depression, pessimism.  Not a huge difference, but recognition that the worst is possible.  Having a child with cancer makes you more aware of the big picture...puts life in perspective.  It has made me more introspective, and more aware of the struggles that others go through. I worry more.",Kids 1 2 and 3,"FINANCES, POLITICS, ELDER FAMILY CARE",,Go to concerts,Because of my husband needing to work throughout treatment I was left to do everything for our son. There was resentments. Emotions weren't felt with and cased fighting ,,,not sure,,"More bills = more stress
Life is short, money won't be the reason for us not doing something 
",We rarely vacations! We don't know how to plan for fun! Getting better but it's hard. Now our money continues to go to med insurance or bills. College! I am working now but we don't really have anymore money. ,Stressful and lonely,"The feeling of home,
Being with the family,
Going outside 
","Brother,
Parents,
Toys","Doctors
Nurses
CNA's",Better quality food,How to a manage pain meds,"To rally in the troops, because you're going to need the help! And to fund-raise as much as you can in the beginning, when everyone is willing to help, to utilize every resource you can and know you're not being selfish as they have to sustain you for a LONG time to come...",Other,,,Make it as fun and loving as possible.  Make it available at as low a cost as possible.  Homelike but clean and safe.  
Housework,"going to the gym/gym classes, personal care, going out with friends","Household cleaning
Proper nutrition
Sanity",,I was married 2x and several relationships.  Very stressful on relationships,There was just hospice at the point you want to go home for death,Only a few times with her bio dad. Never with anyone else since the brain tumor diagnosis. I was too nervous. I probably could now. Maybe. ,"Negatively, friends are scarce. There's no repreive. People don't invite you. Invites by you are ignored or declined. 

Positive: the ones who are present are amazing and usually other parents who ""get it"" ",I couldn't just leave my child with anyone else because no one else other than my mom knew how to do his chemo and meds. My mom wasn't always available. So saying no to a dinner or move out or just over to a friends house happened quite a bit.,"FRIENDS, FAMILY GRANDKIDS","I have 4.1 children, time to myself is an illusion. ","Read, crochet, pedis",Neglected my health some. Ate poorly during treatment. ,"GOD, FAMILY, GOOD HEALTH","Children, money. My health",,"Sightseeing (museums, etc), hiking/outdoor activities, board/card games. ","we both went to our comfortable place, whihc is different for each of us.",,,Not sure ,,We are lucky to have very good insurance during treatment., I don't known,Very stressful. She asked to go home constantly. She was afraid whenever someone entered the room.,"Space to play, cleanliness, ability for the whole family to be together.","Privacy, siblings always present, quiet","Immediate medical care, primary nurses, access to anti emetics and pain meds, someone else preparing those meds",Communication between the different teams of doctors to be better. , i don't know am tired,Always report what's not ok and parents know more than they ever could about THIER kids so they need to listen,"Support for my other children,Help with tasks of daily living (house/yard/errands/meals)",,,"Just do your best to create a caregiver and patient worry free stop and smell the roses type of place. 
"
I did a terrible job at my employment when I was there.  I did not cook or clean for a year but we had hired help and nice friends and family that chipped in. ,Time with my husband away from our home.,Organizing everything because the house had to be cleaned due to bacteria but we didn't organize anything because of time,,Time,"Finding somebody that was available for the hours I require was difficult.  If somebody was available for the hours they did not drive, which was important as my son has multiple therapy sessions he goes to during the week.","Now that his chemo is finished, he spends the night at my sisters about one weekend a month.",We are asked to attend things that are not kid friendly and people ask us why we can't just get a sitter for our kids and take a night of. Don't like going into the weeds with people about why that is a challenge so they usually think we are just blowing them off.,"Most people were not comfortable with the level of care our son required due to the amount of medication, frequency, and type of medication he was on.  ",Family,"Most of the time, some weeks are really tough","DANCE, CROCHET, READ, CURCH VOLUNTEER","I've gained 40 lbs, went into depression, suffer from ptsd,etc","Children, pets, friends","Family, Work, Self",,"Family outings, games, dinners, movie nights. ",I had/have resentment towards my husband as I was our sons primary caregiver. I spent every inpatient night with him and most all days. He had to work and it left me alone to deal with ALL or child's medical needs.,,,N/a,,After she was done with her intensive treatment I was able to go back to work part time from home. That has been a blessing. I am able to work when I need to and also be home with the kids as needed. ,"When I have money, I can do things for him",It's very hard and more when you have more kids .. You have to divide and see who needs you most and teach your other kids that they are strong and that we can all handel the situation.,My other kids,His family. His space at home. Cost from other relatives,"Everything... Nurses , Hospitality, cleaning .. Food.. Care","Less unnecessary instructions
Better sleeping accommodation for care givers
Better food for patients and families ",I don't know that anything could have prepared me for this life,"Understand you have no control, be flexible and ADVOCATE for your child and yourself!","Respite,Support for my other children,Financial assistance,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,"The one question about moving and such didn't allow for an answer of moving out of state to get alternative care.  You might want to look into the wording on this one.  
I believe this is a great idea that will help families with the stress of dealing with a child who is dieing.  It was hard to hear my daughter ask  her doctor, ""How long do I have?""  It was even harder to have her ask me, ""Am I dieing?  I gave her the best answer I could without giving up hope.  My only regret is that we never really talked about dieing and her wishes.  She did mention a couple over the years so I did know that she wanted to be cremated and she didn't want anyone to wear black at her celebration of life.  She also wanted to know what we could give Richard her brother as we gave him skiing the first time.  We ended up using the money from selling her car to buy him the car he always wanted.  Not a brand new car but much better than the one he had.  We told him it was his gift from his sister.  I told him about our conversation and how she wanted to make sure he was ok.  We also all went to a counselor at her request.   I would love to work in your facility if you are looking for people."
"projects were put aside, delayed or declined... which hurt my income",All,"ANYTHING that wasn't a priority. (Routine vehicle maintenance, haircuts, etc)",,"time to talk, time together alone, time to travel, ",Didn't look. And it doesn't apply for me now,"Once we left him with a friends so we could spend the night at a bed and breakfast in the same town for our anniversary. We taught our friend how to give meds and how to feed him. 

It was nerve wracking to leave him but amazing to be alone. ",At that point you have none but at that point social life is the farthest thing from your mind!,"If my daughter sick, or the other person is sick, and we get invited to a dinner or birthday party I don't take her out because it hits her harder then a ""healthy"" kid",Friends and work functions,No,Haha.  Grocery shop? ,"I have severe anxiety issues, it rally has affected my life I'm a awful way.","Family, Community, Self","Ha,  sometimes family.  Money  the thoughts of more losses of loved ones as I age",,"Museums, movies, hikes, swimming, vacations, road trips",Overall closer. Exhaustion related arguing,,,"nothing really.....if we had more money we could make home improvements that could improve our quality of life, but it seems petty in the grand scheme of things",,Grandparents helped ease the burden,We have to watch everything now when before we didn't have too worry,Has not spent extended periods in the hospital,"I didn't pack a bag so I was unprepared. He didn't have any toys or books and they put us in isolation.
Our own bed and things we loved that calm us.","Bed, cats, famiky","My child lived, there was a coffee room for parents only, my aunt stayed with me for hours.",if our kitty could visit my daughter in the hopsital.   Or she could play with kitties.,For him to stay away from state facilities which he shouldn't have been in anyway and that I wish I would have known not everyone in their career especially with non verbal kids does it with compassion and money is more important to most of them,You need to do your homework!,"Financial assistance,Insurance assistance,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,"A good internet and research area.  Social workers who are skilled in pallative care and whole family care.  Nature space with wheelchair access, adaptive play areas so sibs can see the sib being successful.  Resource rich.  Skill building classes such as presented by Turning Point KC.org.  "
,"My husband and I only have a reprieve when we relieve each other. One of us is always with him. When we go out as a family, we avoid crowds and try to pick free or cheap activities because of the financial strain. No buffet restaurants. Date nights for parents are probably rare for most all families affected by life threatening illnesses. They are nonexistent for us. ","clothes shopping, house repairs, gardening, yard care, ",,"Personal time. Focus time on each other not concerning or discussing the variety of issues with our child.
Quality time. Relaxing time. ",I don't trust anyone!,Robyn went to Ashley House on 2 occasions where she needed more care than I could provide at home. ,"My husband is not very supportive, going to any social event and asking him to stay home to care for our son puts additional strain in our relationship.  He will care for our son but reluctantly. ",Sometimes it is easier to say no than go through the trouble to make plans and find somebody to cover caring for my son,Family friends,No,Exercise,"Sleep deprived, stress illnesses often, after she died I was diagnosed with chronic adrenal fatigue.",Family friends just living!,"Health care cost
My leukemia 
Keeping health insurance and keeping a dr
",,Everything!! We enjoyed doing anything and everything together as long as we were together ,"We lost a lot of time together, we had different ideas about how to communicate with our kids about our son's illness.  We grieve very differently over the loss of our son.  ",,,cancer go away,,We've utilized foundation grants etc. FMLA for husband is unpaid so he takes fewer days off instead of being with our son (ie Dr. appts),"We appreciate things more, are more clear about our ability to live without things if necessary",Scary. Worrisome. ,"Food, comfortable bed, a quiet environment ","Familiar surroundings, sleeping without disruption and freedom to roam ","Hospital staff, quality care, other families ",I'm not sure that it could really.. ,Not sure,Research!!!,"Support for my other children,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Help with tasks of daily living (house/yard/errands/meals)",,,I think even the older kids are very afraid to be away from their parents.  If there was a nice safe place for them to  hang out it would be very helpful for parents that have to go to work or have other obligations.  Having respite for children that are chronically ill would really give families a needed break.
,None,"Shopping, grocery and clothing. Usually if I couldn't get it done in between therapies, it wouldn't get done.",,One on one time,I didn't have that many times when I needed to find caregivers because I loved spending all the time I could with my daughter and was fortunate to have others who took care of the other things in my life so that I could be there ,Difficult ,With a sick child I didn't want her to be exposed to viruses so remained home to avoid illness ,Beyond the scope of care and time that the occasion was taking place and life circumstances took precedence over social invites ,Friends,YES,Gosh just bathe wash your hair and take your time and not worry!!,Stress of watching  my child in constant pain,"My remaining children
My own life
Mother nature","Cancer, cancer coming back, cancer coming back.  ",,"Zoo, museum, fairs, hiking ",We learned a lot about how to support one another and both stepped up 100%.  This has helped us in the decade since.,,,We are food,,Medical bills and one working parent make the budget tight. The one working parent luckily makes enough for us though. ,,"Stressful, sleepless, isolating ",My shower..privacy...feeling in control of things,Just home,The nurses,More services for the parents who are there with THIER kids.. ,chronic conditions have a different process with regards to caregiving,Dont be afraid to ask questions to the medical care providers,"Support for my other children,Financial assistance,Help with tasks of daily living (house/yard/errands/meals)",,,"Ladybug House is desperately needed  for the patient, the family and the community."
,All,"Personal needs, my daughters needs were the top priority, appointments, hospital stays. ",,Talking alone..dates..having fun, We were our son's only caregivers.  Our family would have helped if they could have but they live on the East Coast.  ,I have gone on 2 trips without Logan. He was with his father at that time.,I don't get out enough but I didn't get enough before cancer.  Trying to line up mom schedules is hard! I think it's a blessing that I get out with my fiends every few weeks!  ,When she was sick from radiation we didn't think twice about declining stuff.   I don't know.,My girlfriends ,No,"Run, spa, outings with friends, and read",Anxious a lot of the time. Depressed and insomnia,"My kids, my husband, friends/family ",Driving so far to get to the hospital for dialysis,,Movies ,I don't know.    Our marriage is a comfort to us.,,,"We were able to stay at the Ronald McDonald House for the 9 months of his intense chemotherapy treatment. At the point when he was released to go further, neither of us were working, and no apartments would give us the opportunity to rent without income. We were at the point of being referred to homeless shelters, with 2 immune compromised kids. There needs to be more support for families that are transitioning their whole lives in order for their kids to receive this life saving treatment they need",,"I am very blessed because I adopted him from foster care...all of his medical bills were paid; I never even paid a co-pay.  But bridge tolls, gas, meals for me, added daycare costs, coffee for energy caused a strain on my already strained finances...and I recently had to buy a new car because my old car broke down.",,"Boring, very boring. Not many visitors at all. Limited things to do","Personal space, good food, our dog","Being/getting outside, friends, his dad","Music therapy!!! Amazing nurses, our own room",We had two children at the same time so a joint room would have been nice and a kitchen area for cooking and a space where the whole family could gather,Side effects of certain drugs!,Trust your docs instead of trying to find answere/alternatives ,"Support for my other children,Financial assistance,Childcare for siblings,Transportation help",,,no.  I certainly know there is a need.  And I will keep supporting.
," social events with friends, weddings, running group","Laundry, cleaning, self care",,All aspects,We had trouble finding people who understood her medicine regime and her eating tube regime. ,US Army barracks had many Soldiers on Medical Hold status during the years my aon was being trested for his astrocytoma surgey and treatments.  He was expected to behave like a Solider and there were challenges related to his treatmwnts and Army expectations that needed resolution at the command and governmental levels. ,Our long time friends were completely supportive and understanding of our inability to plan events but not stop their inclusion of us in the invitations. Our extended family is very close and we are often together socially. They modified all plans to support our participation. We were very lucky in this respect. ,"It happens. We have a few trusted people. My son has only ever been to one house by himself as a ""play date"", and those are parents of an only child who is my older son's best friend for the last 7 years. We had watched their son so much they called us his aunt and uncle, and they are the only ones who have ever offered to take both for us so we could go out on a date like we do for them quite frequently. Other than that we have a respite care provider we have to book out far in advance, and she's not readily available. ",Extended family and a smal group of friends,Maybe,Paint garden Netflix bathe yoga meditation ,It's completely consuming to have a termination ill child dependent on me.,My kids my grandkids and my dogs,"Children's Health, children's education, finances ",,Play outside and hike,"We forget sometimes that we do need the other just for us. My husband at one point felt he had lost me, and went looking for an uncomplicated outlet that he didn't have to discuss everything heavy with all the time. 
It's hard. ",,,Zade could have been home where he belonged,,We only have exactly what we need to live and nothing more. ,,loud and impersonal,"comfort, darkness at night, space, schedule, quiet, ","his sister
his bike
normalcy","prepared food.
a TV with a wide choice of movies for him to watch non stop
a clean bed for him everyday",Clear ER protocol in place,I dont know,Join a support group or online place to ask questions or share concerns in a safe environment.,"Respite,Referral or references for alternate caregiver service or options,Help with social service programs,Financial assistance,Peer or professional support for self,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,The work you are doing is awesome and SO NEEDED. I am cheering you on! 
,With a sick child there is no socialization. At least there wasn't for me. I read to her. Touched her and sat with her. ,Groceries,,"Time to be ""normal"" together away from cancer life.",I don't trust anyone enough to care for either of my kids as well as I do... I don't think there is enough experience out there,We placed Tahlia into a respite facility the summer before she passed away... ,"We had just moved from Seattle to  Poulsbo, in Kitsap County,  One week prior to our son's diagnosis.  We were immediately thrown into a treatment schedule that precluded us from meeting neighbors and new friends,  and from the normal activities that new parents would participate in with their children.  We were fortunate that we had met a couple of people  during the move who we remained friends with.  They were our lifeline to our new community during that time,  but it was incredibly difficult and lonely. ","If Hubby isn't available, I don't go. ",Friends,No,"Exercise, haircut, waxing, etc. ",Depression,"My children, family, home/outdoors ","Money, work life balance, health of kids in future ",,"Play games, talk, go camping","Both of us are less patient and more frustrated. We are running on empty, have no time for each other, and if we do find a few minutes, it's often spent communicating about the kids' needs. I can't think of a way that it HASN'T been affected. It's pretty nonexistent at the moment.",,,It would have been nice for everyone to be together but have someone to watch them if the sick child had appointments etc,,"So much good came from such an awful situation. The employees from the company I worked for, put together a monthly contribution from anyone that wanted to participate. These funds were deposited into an account and from that account I managed to pay everything that I needed to. Medicines, you name it, It was in that account. The Good in people was Amazing!!!! I would have lost everything if they hadn't pulled together for me the way they did. One person actually paid my Cobra so I was never had to worry about losing my insurance!",,Lonely very lonely. Isolating,Our dog and the ability to do what I wanted. Not being confined to room.,"Dog, friends and toys","Shower in the room, fridge in our room and the nurses ",Better nurses.,"Chemo can cause dehabilitating constipation. 
Stretching/Yoga could have gelped with foot drop","Don't be afraid to ask for and accept help from others. People come out of the woodwork to help you, let them. Ask lots and lots of questions and take lots of notes. You can't expect to remember everything, so write it down whenever possible. Take care of yourself. Try to eat healthy and exercise. It will help with the stress. ",Referral or references for alternate caregiver service or options,,,
,"Dates with my husband.  When I am not home he can do her meds and hook up to feeds and IV hydration, etc.",Errands related to other child who was not ill,,"Conversation, intimacy",It's hard to trust people other than medical professionals because you never know what can happen. ,Child was healthy and requesting to stay at grandparents.  ,We have made many good friends through treatment. My wife and I rarely went out by ourselves. ,"My child would have felt uncomfortable being taking care of, your question assumes a child in question is totally incapable of taking care of one selves, critical care kids are on a spectrum, wide range of needs, but similar outcomes., ","Friends, usually at one another's house. ",No,"Read, exercise","difficult to stay positive, difficult to keep a schedule of self care, difficult to socialize, isolating experience","Children, wife and community of friends. ","My kids
My husband
My independence",,See movies,"Having a terminally ill child causes great stress in a marriage for various reasons including lack of quality time spent together, lack of intimacy, disagreement on treatment and how to care for child and resentment toward each other ",,,"Full time aid
",,"I couldn't work on a regular basis as I want reliable due to Robyn condition, if nurses called out, etc. ",,"Chaotic
Stressful","Cats
My own bed
My other child","Her books, her cat, her privacy","The nurses' compassion, our doctors, being given space","Less beeping machines, more comfortable overnight sleeping furniture for parents",I wish I had met or at least online connected with other families with similar experiences or who had kids going through the same thing.,"Be strong ask ask questions, it does not metter that you repeat the same question over and over untill you fell satisfiying with the answer, and we the care",Help with tasks of daily living (house/yard/errands/meals),,,
